entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-01-09 13:15:00,2023-01-09 14:30:00,SHORT,1056.4,1053.5,255000.00000000908,5
2023-01-10 10:45:00,2023-01-10 11:30:00,SHORT,1048.9,1050.2,-164999.99999999546,3
2023-01-10 13:45:00,2023-01-10 14:30:00,LONG,1058.3,1056.6,-205000.00000000454,3
2023-01-13 13:45:00,2023-01-13 14:30:00,SHORT,1067.4,1069.2,-214999.99999999546,3
2023-01-18 10:30:00,2023-01-18 11:30:00,LONG,1114.7,1115.3,24999.999999990905,4
2023-01-27 13:45:00,2023-01-27 14:30:00,SHORT,1133.4,1127.0,605000.0000000091,3
2023-01-30 14:00:00,2023-01-30 14:30:00,SHORT,1120.6,1109.3,1094999.9999999953,2
2023-01-31 14:15:00,2023-01-31 14:30:00,LONG,1125.3,1125.0,-64999.99999999545,1
2023-02-02 11:00:00,2023-02-02 11:30:00,LONG,1094.7,1095.0,-5000.0000000045475,2
2023-02-03 13:15:00,2023-02-03 14:30:00,SHORT,1087.7,1081.9,544999.9999999955,5
2023-02-06 11:00:00,2023-02-06 11:30:00,LONG,1082.3,1085.1,244999.99999999546,2
2023-02-08 11:15:00,2023-02-08 11:30:00,SHORT,1069.4,1069.5,-44999.999999990905,1
2023-02-08 13:30:00,2023-02-08 14:30:00,LONG,1073.2,1072.0,-155000.00000000454,4
2023-02-09 13:45:00,2023-02-09 14:30:00,LONG,1070.7,1056.8,-1425000.000000009,3
2023-02-10 14:00:00,2023-02-10 14:30:00,SHORT,1050.5,1045.0,515000.0,2
2023-02-16 14:00:00,2023-02-16 14:30:00,LONG,1048.0,1052.2,385000.00000000454,2
2023-02-17 10:30:00,2023-02-17 11:30:00,SHORT,1045.8,1045.2,24999.999999990905,4
2023-02-21 13:45:00,2023-02-21 14:30:00,SHORT,1084.0,1076.0,765000.0,3
2023-02-22 14:15:00,2023-02-22 14:30:00,SHORT,1055.0,1041.9,1274999.999999991,1
2023-02-27 14:15:00,2023-02-27 14:30:00,SHORT,1007.0,1010.0,-335000.0,1
2023-02-28 13:45:00,2023-02-28 14:30:00,SHORT,1013.5,1007.9,525000.0000000023,3
2023-03-01 10:15:00,2023-03-01 11:30:00,LONG,1009.5,1017.0,715000.0,5
2023-03-02 13:15:00,2023-03-02 14:30:00,SHORT,1026.8,1024.1,235000.00000000454,5
