entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2025-01-08 13:15:00,2025-01-08 14:30:00,LONG,1319.8,1322.5,235000.00000000454,5
2025-01-13 13:45:00,2025-01-13 14:30:00,LONG,1295.2,1299.5,394999.99999999546,3
2025-01-15 11:15:00,2025-01-15 11:30:00,LONG,1301.0,1301.2,-14999.999999995453,1
2025-01-16 11:15:00,2025-01-16 11:30:00,SHORT,1299.4,1299.7,-64999.99999999545,1
2025-01-17 13:45:00,2025-01-17 14:30:00,LONG,1315.3,1320.9,525000.0000000136,3
2025-01-20 14:15:00,2025-01-20 14:30:00,LONG,1324.5,1324.5,-35000.0,1
2025-01-21 10:30:00,2025-01-21 11:30:00,SHORT,1324.2,1323.9,-5000.0000000045475,4
2025-01-22 10:45:00,2025-01-22 11:30:00,SHORT,1324.2,1322.5,135000.00000000454,3
2025-01-24 13:15:00,2025-01-24 14:30:00,LONG,1343.1,1343.8,35000.00000000454,5
2025-02-07 13:15:00,2025-02-07 14:30:00,LONG,1341.9,1343.3,104999.99999998635,5
2025-02-10 14:00:00,2025-02-10 14:30:00,LONG,1333.8,1330.0,-414999.99999999546,2
2025-02-11 14:00:00,2025-02-11 14:30:00,SHORT,1330.0,1334.1,-444999.9999999909,2
2025-02-12 13:45:00,2025-02-12 14:30:00,SHORT,1337.0,1330.0,665000.0,3
2025-02-13 11:00:00,2025-02-13 11:30:00,LONG,1333.3,1332.8,-85000.0,2
2025-02-14 10:45:00,2025-02-14 11:30:00,LONG,1349.1,1346.4,-304999.99999998184,3
2025-02-14 13:15:00,2025-02-14 14:30:00,SHORT,1343.6,1341.8,144999.99999999546,5
2025-02-17 14:15:00,2025-02-17 14:30:00,SHORT,1336.0,1335.3,35000.00000000454,1
2025-02-20 13:15:00,2025-02-20 14:30:00,LONG,1349.8,1349.7,-44999.999999990905,5
2025-02-21 11:15:00,2025-02-21 11:30:00,LONG,1351.5,1351.6,-25000.000000009095,1
2025-02-24 13:30:00,2025-02-24 14:30:00,LONG,1356.3,1366.1,944999.9999999955,4
2025-02-26 13:30:00,2025-02-26 14:30:00,SHORT,1361.2,1361.7,-85000.0,4
2025-02-28 13:45:00,2025-02-28 14:30:00,SHORT,1353.6,1356.5,-325000.0000000091,3
2025-03-03 13:30:00,2025-03-03 14:30:00,LONG,1363.7,1361.0,-305000.00000000454,4
2025-03-04 13:15:00,2025-03-04 14:30:00,LONG,1357.5,1366.5,865000.0,5
2025-03-05 11:15:00,2025-03-05 11:30:00,LONG,1369.9,1369.9,-35000.0,1
2025-03-10 14:00:00,2025-03-10 14:30:00,SHORT,1386.3,1389.2,-325000.0000000091,2
2025-03-11 10:30:00,2025-03-11 13:00:00,LONG,1380.6,1384.5,355000.0000000091,4
2025-03-13 13:30:00,2025-03-13 14:30:00,LONG,1390.0,1385.2,-514999.99999999546,4
2025-03-17 14:00:00,2025-03-17 14:30:00,LONG,1390.5,1390.4,-44999.999999990905,2
2025-03-20 14:15:00,2025-03-20 14:30:00,SHORT,1376.6,1376.5,-25000.000000009095,1
2025-03-24 13:30:00,2025-03-24 14:30:00,LONG,1378.1,1390.0,1155000.000000009,4
2025-03-25 13:45:00,2025-03-25 14:30:00,SHORT,1387.3,1386.7,24999.999999990905,3
2025-03-26 10:30:00,2025-03-26 11:30:00,SHORT,1387.2,1382.2,465000.0,4
2025-04-01 13:15:00,2025-04-01 14:15:00,SHORT,1362.3,1367.4,-545000.0000000136,4
2025-04-01 14:15:00,2025-04-01 14:30:00,LONG,1367.4,1366.0,-175000.00000000908,1
2025-04-03 09:30:00,2025-04-03 11:30:00,SHORT,1320.0,1297.5,2215000.0,8
2025-04-11 10:30:00,2025-04-11 11:30:00,LONG,1287.6,1285.4,-254999.9999999818,4
2025-04-14 14:00:00,2025-04-14 14:30:00,LONG,1319.0,1317.0,-235000.0,2
2025-04-16 13:15:00,2025-04-16 14:30:00,SHORT,1301.2,1289.9,1094999.9999999953,5
2025-04-17 14:15:00,2025-04-17 14:30:00,LONG,1295.8,1296.0,-14999.999999995453,1
2025-04-21 10:30:00,2025-04-21 11:30:00,SHORT,1290.3,1289.1,85000.00000000454,4
2025-04-22 11:15:00,2025-04-22 11:30:00,SHORT,1275.7,1275.6,-24999.999999986358,1
2025-04-22 14:15:00,2025-04-22 14:30:00,LONG,1293.0,1291.5,-185000.0,1
2025-04-23 11:00:00,2025-04-23 11:30:00,SHORT,1301.6,1305.8,-455000.00000000454,2
2025-04-24 14:15:00,2025-04-24 14:30:00,LONG,1307.0,1306.9,-44999.999999990905,1
2025-04-25 14:15:00,2025-04-25 14:30:00,SHORT,1310.1,1311.8,-205000.00000000454,1
2025-05-05 13:45:00,2025-05-05 14:30:00,LONG,1314.0,1316.4,205000.00000000908,3
2025-05-06 10:00:00,2025-05-06 13:00:00,LONG,1323.2,1323.4,-14999.999999995453,6
2025-05-09 14:00:00,2025-05-09 14:30:00,SHORT,1350.4,1350.5,-44999.999999990905,2
2025-05-12 10:30:00,2025-05-12 13:00:00,SHORT,1354.7,1362.7,-835000.0,4
